,News,News tok,True label,Pred label
0,in summer increased efforts must be made to hygiene kitchen basic rules to comply with since the fresh food and the bacteria also like that the food borne diseases also are more common reported in the national food chain safety office nébih on monday....Original Source: origo,"[['summer', 'increased', 'efforts', 'must', 'made', 'hygiene', 'kitchen', 'basic', 'rules', 'comply', 'with', 'since', 'the', 'fresh', 'food', 'and', 'the', 'bacteria', 'also', 'like', 'that', 'the', 'food', 'borne', 'diseases', 'also', 'are', 'more', 'common', 'reported', 'the', 'national', 'food', 'chain', 'safety', 'office', 'nébih', 'monday....Original', 'Source:', 'origo']]",1,0
1,Top terms rajasthan chief minister districts state congress chief ministers rajasthan unitOriginal Source: foodauthenticity,"[['Top', 'terms', 'rajasthan', 'chief', 'minister', 'districts', 'state', 'congress', 'chief', 'ministers', 'rajasthan', 'unitOriginal', 'Source:', 'foodauthenticity']]",1,0
2,Bangladesh Food Safety Authority BFSA Chairman Mahfuzul Haque was exempted from contempt of court rule after he offered unconditional apology before the High Court for not complying with its order. The HC bench of Justice Sheikh Hassan Arif and Justice Razik Al Jalil passed the exemption order.......Original Source: thedailystarBD,"[['Bangladesh', 'Food', 'Safety', 'Authority', 'BFSA', 'Chairman', 'Mahfuzul', 'Haque', 'was', 'exempted', 'from', 'contempt', 'court', 'rule', 'after', 'offered', 'unconditional', 'apology', 'before', 'the', 'High', 'Court', 'for', 'not', 'complying', 'with', 'its', 'order.'], ['The', 'bench', 'Justice', 'Sheikh', 'Hassan', 'Arif', 'and', 'Justice', 'Razik', 'Jalil', 'passed', 'the', 'exemption', 'order.......Original', 'Source:', 'thedailystarBD']]",1,0
3,LAHORE:A high level meeting of the Punjab Food Authority PFA chaired by Punjab Senior Minister Abdul Aleem Khan decided to increase fines and penalties besides ensuring summary trial of those involved in adulteration and providing substandard food items to the citizens....Original Source: thenews pk,"[['LAHORE:A', 'high', 'level', 'meeting', 'the', 'Punjab', 'Food', 'Authority', 'PFA', 'chaired', 'Punjab', 'Senior', 'Minister', 'Abdul', 'Aleem', 'Khan', 'decided', 'increase', 'fines', 'and', 'penalties', 'besides', 'ensuring', 'summary', 'trial', 'those', 'involved', 'adulteration', 'and', 'providing', 'substandard', 'food', 'items', 'the', 'citizens....Original', 'Source:', 'thenews']]",1,0
4,year fixed home loans remain appealing but variable rates have been on the move up. By Sandra Block. If you #;re hoping an adjustable rate mortgage will help you afford your dream house you may want to rethink those granite countertops.,"[['year', 'fixed', 'home', 'loans', 'remain', 'appealing', 'but', 'variable', 'rates', 'have', 'been', 'the', 'move', 'up.'], ['Sandra', 'Block.'], ['you', '#;re', 'hoping', 'adjustable', 'rate', 'mortgage', 'will', 'help', 'you', 'afford', 'your', 'dream', 'house', 'you', 'may', 'want', 'rethink', 'those', 'granite', 'countertops.']]",0,1
5,...Original Source: firstpost,"[['...Original', 'Source:', 'firstpost']]",1,0
6,“I was surprised some of the samples didn’t contain any avocado oil ” said Selina Wang Cooperative Extension specialist in the Department of Food Science and Technology who led the study recently published in the journal Food Control . “Most people who buy avocado oil are interested in the health.......Original Source: thehindu,"[['was', 'surprised', 'some', 'the', 'samples', 'didn’t', 'contain', 'any', 'avocado', 'oil', 'said', 'Selina', 'Wang', 'Cooperative', 'Extension', 'specialist', 'the', 'Department', 'Food', 'Science', 'and', 'Technology', 'who', 'led', 'the', 'study', 'recently', 'published', 'the', 'journal', 'Food', 'Control'], ['“Most', 'people', 'who', 'buy', 'avocado', 'oil', 'are', 'interested', 'the', 'health.......Original', 'Source:', 'thehindu']]",1,0
7,Following the importance of the food and beverage industry employers in the sector have called on the Federal and State governments to ensure food security in the face of adulteration and counterfeiting. The employer’s group under the aegis of Association of Food Beverage and Tobacco Employers.......Original Source: dailytimes NG,"[['Following', 'the', 'importance', 'the', 'food', 'and', 'beverage', 'industry', 'employers', 'the', 'sector', 'have', 'called', 'the', 'Federal', 'and', 'State', 'governments', 'ensure', 'food', 'security', 'the', 'face', 'adulteration', 'and', 'counterfeiting.'], ['The', 'employer’s', 'group', 'under', 'the', 'aegis', 'Association', 'Food', 'Beverage', 'and', 'Tobacco', 'Employers.......Original', 'Source:', 'dailytimes']]",1,0
8,AP It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps figures and endless charts but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up moist places will dry and flames will roar.,"[[""It's"", 'barely', 'dawn', 'when', 'Mike', 'Fitzpatrick', 'starts', 'his', 'shift', 'with', 'blur', 'colorful', 'maps', 'figures', 'and', 'endless', 'charts', 'but', 'already', 'knows', 'what', 'the', 'day', 'will', 'bring.'], ['Lightning', 'will', 'strike', 'places', 'expects.'], ['Winds', 'will', 'pick', 'moist', 'places', 'will', 'dry', 'and', 'flames', 'will', 'roar.']]",0,1
9,Punjab Food Authority PFA has sealed a fake betel nut manufacturing unit of popular brand named “Bombay Sweet Supari” by rooting out the factory located at Multan Road Lahore. Acting on a tipoff PFA team under the supervision of its Director General Irfan Memon raided a factory and caught huge.......Original Source: thedailystarBD,"[['Punjab', 'Food', 'Authority', 'PFA', 'has', 'sealed', 'fake', 'betel', 'nut', 'manufacturing', 'unit', 'popular', 'brand', 'named', '“Bombay', 'Sweet', 'Supari”', 'rooting', 'out', 'the', 'factory', 'located', 'Multan', 'Road', 'Lahore.'], ['Acting', 'tipoff', 'PFA', 'team', 'under', 'the', 'supervision', 'its', 'Director', 'General', 'Irfan', 'Memon', 'raided', 'factory', 'and', 'caught', 'huge.......Original', 'Source:', 'thedailystarBD']]",1,0
