,Tweet,Tweet tok,True label,Pred label
0,"@USER @USER that's not good, do you know what you ate to get food poisoning?","['@USER', '@USER', ""that's"", 'not', 'good', ',', 'do', 'you', 'know', 'what', 'you', 'ate', 'to', 'get', 'food', 'poisoning', '?']",1,0
1,Food poisoning in Mandeville  HTTPURL,"['Food', 'poisoning', 'in', 'Mandeville', 'HTTPURL']",0,1
2,bel bev dabo food poison:  HTTPURL via @USER,"['bel', 'bev', 'dabo', 'food', 'poison', ':', 'HTTPURL', 'via', '@USER']",0,1
3,Douno why my mum trusts me cooking the dinner..#foodpoisoning #notrust,"['Douno', 'why', 'my', 'mum', 'trusts', 'me', 'cooking', 'the', 'dinner', '.', '.', '#foodpoisoning', '#notrust']",0,1
4,"{Me,My Gist and I} A Couple Died of Food Poison in Rivers  HTTPURL ....","['{Me', ',', 'My', 'Gist', 'and', 'I}', 'A', 'Couple', 'Died', 'of', 'Food', 'Poison', 'in', 'Rivers', 'HTTPURL', '.', '.', '.', '.']",0,1
5,"on top of all my pain, I feel like I have food poison [EMOJI_face_with_medical_mask][EMOJI_face_with_medical_mask][EMOJI_face_with_medical_mask][EMOJI_face_with_medical_mask][EMOJI_face_with_medical_mask][EMOJI_face_with_medical_mask][EMOJI_face_with_medical_mask]","['on', 'top', 'of', 'all', 'my', 'pain', ',', 'I', 'feel', 'like', 'I', 'have', 'food', 'poison', '😷', '😷', '😷', '😷', '😷', '😷', '😷']",0,1
6,@USER @USER i on the other hand hope karma gives you food poisoning over night and you spend your day off puking your load,"['@USER', '@USER', 'i', 'on', 'the', 'other', 'hand', 'hope', 'karma', 'gives', 'you', 'food', 'poisoning', 'over', 'night', 'and', 'you', 'spend', 'your', 'day', 'off', 'puking', 'your', 'load']",0,1
7,"Don't. Food poisoning jo. ""@USER I want a cold something, but the way that wine in the fridge is set [EMOJI_pensive_face]""","[""Don't"", '.', 'Food', 'poisoning', 'jo', '.', '""', '@USER', 'I', 'want', 'a', 'cold', 'something', ',', 'but', 'the', 'way', 'that', 'wine', 'in', 'the', 'fridge', 'is', 'set', '😔', '""']",0,1
8,I told them after they gave me food poisoning in 2012 they won't prosper kmt the power of the tongue   HTTPURL,"['I', 'told', 'them', 'after', 'they', 'gave', 'me', 'food', 'poisoning', 'in', '2012', 'they', ""won't"", 'prosper', 'kmt', 'the', 'power', 'of', 'the', 'tongue', 'HTTPURL']",0,1
9,#SanJose #FoodPoisoning 93 #Shigella: Fever diarrhea stomach pain easily transmitted MariscosSanJuan Fr/Sa #BayArea   HTTPURL,"['#SanJose', '#FoodPoisoning', '93', '#Shigella', ':', 'Fever', 'diarrhea', 'stomach', 'pain', 'easily', 'transmitted', 'MariscosSanJuan', 'Fr/Sa', '#BayArea', 'HTTPURL']",1,0
10,No motive is worth getting food poisoning tbh [EMOJI_sleepy_face][EMOJI_sleepy_face]  HTTPURL,"['No', 'motive', 'is', 'worth', 'getting', 'food', 'poisoning', 'tbh', '😪', '😪', 'HTTPURL']",0,1
11,Is it the flu or food poisoning from meal hall? Wish I knew [EMOJI_loudly_crying_face],"['Is', 'it', 'the', 'flu', 'or', 'food', 'poisoning', 'from', 'meal', 'hall', '?', 'Wish', 'I', 'knew', '😭']",0,1
12,@USER your Middletown NY location is a Food Poison case waiting to happen. The place stinks and bathroom is nasty and unorganized,"['@USER', 'your', 'Middletown', 'NY', 'location', 'is', 'a', 'Food', 'Poison', 'case', 'waiting', 'to', 'happen', '.', 'The', 'place', 'stinks', 'and', 'bathroom', 'is', 'nasty', 'and', 'unorganized']",0,1
13,Feeling like death[EMOJI_face_with_thermometer] def got some type of stomach flu or food poisoning someone please saveeee meeeee,"['Feeling', 'like', 'death', '🤒', 'def', 'got', 'some', 'type', 'of', 'stomach', 'flu', 'or', 'food', 'poisoning', 'someone', 'please', 'saveeee', 'meeeee']",0,1
